абдериты	глупый
господь	бог
гостеприимный	радушный хлебосольный хлебосол
гостиная	комната
гостинец	дар
гостиница	подворье отель ресторан ресторация трактир кабак харчевня корчма шинок
гостить	гость посещать
государственный	правительственный казенный
государство	империя княжество королевство царство страна
государь	господин правитель
готов	пьяный соглашаться
готовить	приготовлять изготовлять запасать припасать стряпать
готовиться	приготовляться собираться снаряжаться намереваться
готовность	желание
готово	конец
готовый	отделанный оконченный снаряженный согласный
грабеж	разбой захват хищничество насилие
грабитель	разбойник хищник громила бандит пират злодей преступник
гравюра	рисунок
град	много осадок
градус	высота степень
гражданин	мещанин
грамота	документ
грамотей	ученый
грамотка	письмо
гранд	аристократ дворянин
гранит	камень
граница	борт грань край межа мера предел рубеж черта демаркационная
граничащий	близкий
граничить	касаться соприкасаться прилегать примыкать
грань	граница край сторона
грассировать	косноязычить
граф	дворянин
графа	линия черта
грациозный	стройный
грация	красивый
гребень	вершина
греготать	смеяться
греза	мечта
грезить	мечтать
грезиться	казаться
греметь	звучать кричать славиться
гренадер	рослый
греться	зарабатывать
грех	грехопадение ошибка погрешность прегрешение согрешение преступление провинность упущение беззаконие виновный недостаток препятствие
греховность	безнравственность
греховный	безнравственный грешный
греховодник	беззаконник грешник
грехопадение	грех
грешник	безбожник беззаконник нечестивец развратник греховодник
грешно	запрещать нельзя
грешный	греховный богомерзкий богопротивный согрешительный безнравственный виновный преступный
грешок	преступление
грива	волос
гримаса	кривлянье мина ужимка коленце
гримасничать	морщиться кривляться ломаться упрямиться
гроб	смерть
гроза	беда гонитель мучитель погода страшный
грозиться	грозить угрожать
грозный	взыскательный строгий суровый сердитый хмурный пасмурный молниеносный опасный страшный угрюмый
гром	взрыв звук
громада	ворох куча много
громадный	огромный колоссальный непомерный гигантский исполинский большой великий
громила	грабитель злодей преступник
громить	бранить обвинять порицать
громкий	громовой звонкий звучный зычный крикливый шумливый оглушительный пронзительный гулкий раскатистый шумный славный
громко	громогласно голосисто гулко звонко звучно зычно крикливо неистово оглушительно вслух гласно велегласно
громовой	громкий
громоздкий	большой
громыхать	звучать
грот	пещера углубление
грохнуть	бросать
грохнуться	валиться падать
грохот	звук шум
грохотать	звучать смеяться
грошовый	дешевый плохой худой
грубить	дерзкий
грубиян	грубый дерзкий
грубиянить	буянить дерзкий
грубоватый	пошлый
грубый	огрубелый дикий мужиковатый невоспитанный неделикатный некультурный необразованный неотесанный плебейский невежа грубиян бурбон деревенщина животное скот скотина цинический дубовый простой топорный аляповатый неуклюжий дерзкий некрасивый неприличный пошлый резкий циничный
груда	ворох кусок куча много
грудь	душа сердце
груз	багаж бремя ноша
грузная	беременная
грузный	толстый тяжелый
грузон	пьяный
грум	прислуга
грунт	земля
группа	общество разряд
группировать	соединять
группировка	порядок соединение
грустить	печалиться тосковать
грустный	печальный
грусть	горе печаль
грызня	брань спор
грызть	беспокоить бранить есть мучить теснить тревожить
грызться	спорить ссориться
гряда	гора ряд
грядущее	судьба
грядущий	будущий скорый следующий
грязнить	марать мазать пачкать загаживать осквернять пакостить поганить салить суслить чернить бесславить
грязнуха	грязный
грязный	мутный неопрятный черный грязнуха замараха неряха чумичка сальный чумазый черновой безнравственный гадкий низкий неприличный подлый пошлый циничный
грязь	лужа тина болото пятно
грянуть	кричать
грянуться	валиться падать
грясти	идти ходить
губерния	место
губоня	сердитый
губы	рот
гугнивый	косноязычный
гудение	звук
гудеть	звучать шуметь
гук	шум
гул	шум
гулкий	громкий
гулко	громко
гуляка	бражник жуир забулдыга кутила сластоежка бонвиван вивер гастроном гурман сибарит пьяный
гулянка	пир
гулянки	бездействие
гулять	бездействовать кутить пировать ходить
гуманный	добрый
гумно	здание
гунявить	косноязычить
гунявый	лысый
гурман	гуляка
гурт	стадо
гуртом	весь оптом
гурьбой	вместе
гусляр	музыкант
густой	створожившийся частый
гуторить	беседовать
гуща	осадок
да	конечно разумеется так согласен верно правда истинно ейей также желание
дабы	чтобы
давай	начинать
давалец	клиент
давальщик	клиент
даваться	подчиняться удаваться успевать
давеча	недавно
давешний	давнишний прежний
давить	жать нажимать прижимать сжимать теснить гнесть тискать тяготить щемить мять обременять убивать
давка	теснота толкотня толчея тесный
давление	бремя влияние иго насилие
давний	былой давнишний прежний старый
давнишний	давний давешний стародавний былой давнопрошедший минувший прежний прошлый старый исконный извечный
давно	давнымдавно давнехонько давнешенько издавна сыздавна издревле исстари искони
давнопрошедший	былой давнишний прежний
даже;	простонар
далее	кроме
далекий	дальний отдаленный удаленный
далеко	вдали поодаль далече издали очень
далече	далеко
дальнейший	будущий следующий
дальний	далекий
дальновидность	догадливость догадка провидение прозорливость проникновение проницательность расчетливость сметливость смышленость сообразительность
дальновидный	догадливый предусмотрительный прозорливый зоркий дальнозоркий проникновенный проницательный расчетливый сметливый смышленый запасливый
дальнозоркий	дальновидный
дама	женщина
дамба	плотина
данник	любитель подчиненный раб
данные	причина
данный	известный определенный
дано	судьба
дань	налог
дар	гостинец подарок жертва пожертвование лепта приношение подношение презент подаяние подачка милостыня благостыня дарование способность
дарить	даровать давать жаловать жертвовать усердствовать подносить презентовать отказать завещать пожертвование
дармоед	блюдолиз паразит
дарование	дар даровитость способность талант талантливость
даровать	давать дарить рождать
даровитость	дарование способность
даровитый	способный
даровой	безвозмездный безмездный безденежный бескорыстный бесплатный невознаграждаемый свободный
даром	задаром безвозмездно безмездно бесплатно бескорыстно напрасно беспричинно
дацан	храм
дача	доза дом еда часть
двигать	ворошить ворочать встряхивать качать колебать колыхать тормошить трясти потрясать шатать шевелить волновать мешать толкать
двигаться	болтаться ворошиться ворочаться дрожать качаться колебаться колыхаться мотаться шататься подвигаться идти ходить
движение	ход
движимость	имущество обстановка
двое	два пара
двоедушный	хитрый
двойник	подобный
двойственный	хитрый
дворец	замок палаты палаццо терем хоромы чертог дом
дворняжка	собака
дворовой	прислуга
дворянин	аристократ барин боярин гранд магнат патриций
двуличный	лицемерный
двусмысленность	намек
двусмысленный	неясный
двуязычный	лицемерный
дебатировать	спорить
дебаты	спор
дебелый	толстый
дебош	бесчинство скандал
дебошир	забияка
дебри	чаща пуща
дебют	начало опыт
дебютировать	начинать
дева	бобыль женщина холостой
девать	помещать тратить
деваться	помещаться пропадать
девиз	знак изречение
девица	женщина
девочка	дитя женщина
девственный	невинный
девушка	женщина малолеток
дееспособность	способность
дееспособный	здоровый
дежурить	ждать охранять
дежурная	комната
дежурный	дневальный очередной
дезертир	изменник
дезертировать	бросать убегать
действие	деяние подвиг поступок выходка шаг маневр манипуляция махинация операция процедура процесс акт делание дело выделка изготовление исполнение осуществление реализация производство фабрикация влияние произведение
действительно	истинно подлинно точно взаправду вправду впрямь всерьез воистину поистине фактически бесспорно несомненно заведомо конечно правда ейей признаться
действительный	настоящий
действователь	деятель
действовать	биться влиять делать
действующий	влиятельный
декламировать	читать
декларация	известие объявление
декоративный	мнимый
декорация	украшение
декорировать	украшать
делание	действие работа
делатель	деятель
делать	действовать деять совершать творить создавать созидать оказывать являть исполнять производить поступать чинить учинять образовывать варганить сооружать изготовлять кропать копать ляпать оперировать орудовать заниматься практиковать упражняться причинять доставлять наносить работать
делаться	случаться становиться
делегат	посредник
дележ	деление
деление	дележ дробление отделение разделение раздел раздвоение разграничение разложение разверстка размещение разъединение разобщение расщепление обособление распределение раскассирование расторжение расчленение разряд часть
делец	предприниматель воротила аферист гешефтмахер деятель
деликатес	вкусный
деликатничать	обращаться
деликатный	вежливый нежный щекотливый
делить	дробить раздроблять раздавать разделять разрознивать разъединять разлагать разобщать расторгать расчленять размежевать участвовать
делиться	извещать
дело	занятие ремесло мастерство рукоделие профессия работа труд действие процесс спор суд тяжба битва заботиться нужда предприятие произведение сделка случай суть
дельный	говорить основательный полезный практический
делянка	часть
демон	бес
демонстративно	умышленно
деморализация	развращение
деморализовать	портить
демосфен	оратор
денди	франт
денек	погода
денщик	прислуга
день	сутки число погода
деньги	монета казна капитал касса финансы деньжонки мелочь бумажка аржаны
деньжонки	деньги
депеша	известие
депо	помещение склад хранилище амбар
депутат	посредник
дергать	тянуть
деревенщина	грубый дикарь
деревня	село поселок поселение станица местечко урочище хутор весь место
держава	власть сила
державный	властный сильный
державствовать	властвовать господствовать
держать	владеть иметь хранить
держаться	обращаться продолжаться следовать терпеть удерживаться
держиморда	полиция
дерзать	отваживаться осмеливаться сметь рисковать решаться пробовать
дерзить	дерзкий
дерзкий	продерзкий дерзновенный дерзостный развязный бесстыдный бесстыжий беззастенчивый бесцеремонный вызывающий грубый задирающий наглый нахальный грубиян озорник забиячливый
дерзость	продерзость продерзание наглость нахальство
дернуть	возбуждать
дерябнуть	напиваться пить
деспот	безжалостный жестокий правитель
деспотизм	насилие самовольство своенравие
деспотствовать	самовольствовать
деталь	подробность
детвора	дитя
детеныш	плод
детище	изделие плод произведение
детский	наивный
детство	младенчество малолетство отрочество возраст юность
дефект	недостаток
дефектный	неполный портить худой
дефилировать	проходить
дефицит	недостаток
деформация	неправильность
дешевый	грошовый доступный общедоступный умеренный плохой худой
дешифровывать	читать
деяние	действие
деяния	история
деятель	действователь делатель делец воротила предприниматель производитель исполнитель творец создатель агент старатель
деятельность	деятельный
деятельный	деловитый деловой работящий предприимчивый энергичный хлопотливый неугомонный неутомимый бойкий
деять	делать
джентльмен	аристократ благородный мещанин
джентльменский	аристократический бескорыстный благородный
дзекать	косноязычить
диалект	язык
диалектик	болтливый
диалектика	болтовня
диалог	разговор
диана	невинный
диатриба	речь
диван	ложе
дивиденд	барыш
дивить	удивлять
дивиться	удивляться
дивный	красивый неестественный отличный удивительный чудный
диво	редкость удивительный
дидактический	назидательный
диета	порядок
дикарь	азиат вандал варвар необразованный неотесанный нецивилизованный людоед антропофаг неуч невежда деревенщина
дикий	бешеный буйный грубый необыкновенный
диковина	редкость
диковинный	невиданный необычайный неслыханный редкий редкостный удивительный
диктатор	правитель
диктовать	приказывать
дилемма	вопрос задача
дилетант	любитель
династия	семейство
дипломат	осторожный хитрец
дипломатический	ловкий осторожный хитрый
директор	начальник
дирижер	правитель
дирижировать	править
дискант	голос
диспут	спор
диспутировать	спорить
диссертация	книга
диссонанс	разногласие
дистанция	промежуток расстояние
дисциплина	наука повиновение такт учение
дитя	крошка малютка младенец ребенок малолетний малолеток малыш малец мальчик мальчишка девочка мальчуга мальчуган дети детвора чадо сын дочь исчадие отпрыск отродье плод порождение птенец вылупок
дифирамб	хвала
диффамация	клевета
дифференциация	разделение
дичиться	бычиться сторониться чуждаться чураться букой бычком волком ежом сентябрем хмуро угрюмо исподлобья насупившись застенчивым необходительным необщительным стыдиться
дичь	вздор нелепость
дичь	мясо
длинный	долгий продолговатый вытянутый высокий
длительный	долгий
длиться	продолжаться
для	ради чтобы
дневальный	дежурный
дневка	остановка
дневник	календарь книга
днесь	ныне теперь
дни	жизнь
днище	дно
дно	низ почва днище земля
до	перед прежде предварительно накануне
добавление	прибавление дополнение приложение
добавлять	прибавлять
добежать	достигать
добиваться	доставать достигать стараться
добираться	достигать попадать
добить	доконать
добиться	успевать
доблестный	аристократический бескорыстный благородный добрый достойный храбрый
добраться	наказывать приходить
добрести	приходить
добреть	толстеть
добро	благо благодеяние благотворение пожертвование услуга одолжение имущество угроза
добровольно	охотно
добровольный	доброхотный вольный невынужденный необязательный свободный факультативный
добродей	благодетель
добродетельный	добрый
добродушие	кротость
добродушный	добрый кроткий ласковый
доброжелатель	друг покровитель
доброжелательный	дружественный милостивый
доброжелательство	благоволение дружба любовь
доброжелательствовать	благожелательствовать благоволить благоприятствовать мирволить покровительствовать
доброкачественный	годный хороший
добром	охотно
добронравный	нравственный
добропорядочный	благородный порядочный
добросердечный	добрый кроткий милосердый
добросовестность	верность честность
добросовестный	точный хороший честный
добротность	достоинство качество
доброхот	благодетель
доброхотный	добровольный
добрый	благой добродетельный доблестный добродушный благодушный добросердечный гуманный человечный душевный жалостливый сердечный отзывчивый чувствительный терпимый добряк душачеловек бравый ласковый милостивый хороший
добывать	доставать зарабатывать
добывчивый	ловкий
добычный	доходный полезный
довалиться	достигать
доведываться	узнавать
доверие	вера кредит уверенность
доверитель	клиент
доверчивый	наивный
довершать	кончать
доверять	вверять верить поручать
доверяться	верить
довестись	случаться
довод	аргумент доказательство
доводить	причинять
доводчик	доносчик
доволочиться	приходить
довольно	достаточно полно изрядно порядком порядочно баста будет станет достанет хватит кончено аминь шабаш
довольный	довольствующийся пресыщенный удовлетворенный достаточный удовлетворительный изрядный порядочный обильный
довольствие	питание содержание
довольство	заботливость избыток удобство
довольствовать	содержать удовлетворять
довольствоваться	удовлетворяться ограничиваться обходиться пробавляться питать
довольствующийся	довольный
довременно	безвременно рано
догадать	вдохновлять возбуждать научать
догадка	предположение расчет гипотеза домысел соображение мнение дальновидность догадливость мысль
догадливость	догадка дальновидность сметливость сметка смекалка смышленость сообразительность
догадливый	дальновидный прозорливый проницательный сметливый смышленый сообразительный понятливый находчивый изобретательный изворотливый расчетливый
догадываться	додумываться домышлять понимать подозревать предчувствовать предвидеть предугадывать предполагать смекать соображать разгадывать угадывать найтись спохватиться
догматический	окончательный
договор	уговор условие соглашение сделка стачка контракт конвенция трактат обязательство
договориться	соглашаться
догонять	нагонять настигать поравняться
догорать	гаснуть
доднесь	доныне
додумываться	выдумывать догадываться
доехать	губить доконать достигать
дождь	ливень проливень слякоть ситничек дряпня косохлест много осадок
дожидайся	отказ
дожидаться	ждать
доза	доля дача порция порцион прием рацион величина еда часть
дозамужний	холостой
дозваться	звать
дозволение	допущение позволение разрешение соизволение согласие пропуск
дозволительно	можно
дозволить	можно
дозволять	позволять допускать попускать разрешать терпеть давать предоставлять соизволять соглашаться
дознавать	узнавать
дознание	испытание
дознанный	известный истинный надежный
дозорный	сторож
доимочка	долг
доискиваться	искать узнавать
доить	извлекать
дойти	доконать достигать
дока	знаток
доказанный	истинный надежный
доказатель	доносчик
доказательный	неоспоримый неопровержимый веский основательный убедительный аподиктический
доказательство	довод основание резон силлогизм соображение улика аргумент знак свидетельство ссылка
доказчик	доносчик
доказывать	подтверждать обосновывать аргументировать мотивировать убеждать урезонивать
доклад	известие извещение
докладывать	извещать
доконать	добить дойти донимать допекать губить
доктор	ученый
докторальный	назидательный
доктрина	наука учение
доктринер	теоретик
документ	акт бумага грамота свидетельство
докуриться	гаснуть
докучать	надоедать
докучливый	навязчивый надоедливый
докучный	надоедливый
долбануть	пить ударять
долбить	повторять учить
долгий	длинный бесконечный вековой долгосрочный долговременный долговечный долголетний многолетний продолжительный длительный медленный протяжный
долго	бесконечно век продолжительно протяжно медленно
долговечность	долголетие долгоденствие живучесть
долговечный	долгий
долговременный	вечный долгий медленный
долговязый	высокий рослый
долгоденствие	долговечность жизнь
долгоденствовать	жить
долголетие	долговечность жизнь
долготерпеливый	терпеливый
долететь	слушать
должен	вынужден обязан принужден повинен
долженствовать	должен
должно	должен надо
должностной	официальный
должность	занятие место пост служба звание синекура обязанность
должный	долг заслуженный подходящий
должок	долг
долина	углубление
долой	бросать удалять
дольщик	участник
доля	доза порция судьба часть
дом	здание дворец изба хата хижина землянка лачуга мазанка палата хоромы терем чертог усадьба дача вилла помещение семейство
домашний	частный семейный личный домоделанный доморощенный домотканный самодельный внутренний
доминировать	главенствовать господствовать первенствовать
доминирующий	главный
домовитость	бережливость
домовитый	бережливый
домовладыка	хозяин
домогательство	старание требование
домогаться	желать стараться требовать
домоделанный	домашний туземный
домой	восвояси
доморощенный	домашний туземный
домотканный	домашний туземный
домохозяин	хозяин
домочадец	прислуга
домысел	догадка
домышлять	догадываться
донельзя	очень
донесение	известие извещение
донимать	доконать надоедать
донос	извет оговор поклеп ябеда известие
доноситель	доносчик
доносить	извещать изменять
доноситься	слушать
доносчик	доноситель доказчик доказатель доводчик изветник оговорщик объявитель обличитель сикофант ябедник изменник предатель
доныне	доднесь поныне поднесь доселе посейчас
донюхиваться	искать
допекать	доконать
доплестись	приходить
дополнение	добавление прибавление
дополнительно	точный
допотопный	старый
доправлять	взыскивать требовать
допрашивать	испытывать спрашивать узнавать
допрос	испытание
допускать	благоволить дозволять предполагать терпеть
допустимый	возможный предполагать
допущение	дозволение
допытывать	спрашивать
допытываться	искать узнавать
дорваться	достигать
дорога	путь мостовая стезя тропа тропинка шоссе улица тротуар просека аллея полотно способ
дорого	дорогой
дорогой	мимоходом
дорогой	драгоценный ценный любимый милый ненаглядный желанный жемчужный
дородный	толстый
дорожить	почитать
дорожиться	оценивать
дорываться	узнавать
досада	гнев неприятность
досадно	обидный
досадный	неприятный
досадовать	сердиться
досаждать	надоедать сердить
доска	дощечка пласт пластина пластинка плита
досконально	точный
доскональный	подробный
дословно	буквально точный
дословный	точный
досматривать	испытывать
досмотр	испытание
доспехи	вооружение оружие
досрочный	ранний
доставать	добывать получать почерпать приобретать снискивать наживать стяжать достигать зарабатывать добиваться подцепить выкопать выудить выжать вымучить раздобыться разжиться промыслить обзавестись шеромыжничать брать
доставлять	давать делать посылать причинять
достанет	довольно
достаток	добро имущество
достаточно	довольно
достаточный	довольный зажиточный удовлетворительный
достаться	доставать наказывать следовать
достигать	добиваться добираться досягать добежать дойти доехать доходить доставать
достижимый	возможный
достоверно	точный
достоверный	надежный точный
достодолжный	заслуженный подходящий
достоинство	вес важность значение сила авторитет компетентность престиж величие величавость высота благородство заслуга ценность стоимость добротность превосходство преобладание преимущество предпочтение козырь первенство амбиция самоуверенность апломб степень цена чин
достойно	заслуга
достойный	доблестный величественный заслуженный приличный приличествующий согласный заслуживающий подобающий аристократический благообразный благородный величавый подходящий порядочный
достопамятный	важный знаменитый незабвенный славный
достопочтенный	почитать
достопримечательный	важный замечательный знаменитый славный
достославный	великий знаменитый славный
достохвальный	похвальный хороший
достояние	добро имущество
доступный	дешевый
досуг	бездействие
досужий	бездельник праздный
досыпать	спать
досягать	достигать
дотащиться	приходить
дотла	весь
дотрагиваться	касаться трогать
дотянуть	жить
дохлый	мертвый
дохлятина	труп
дохнуть	умирать
доход	приход прирост польза приобретение ресурс рента пенсион пенсия стипендия жалованье оклад содержание вознаграждение барыш взятка заработок
доходить	губить достигать кончаться узнавать
доходный	добычный выгодный прибыльный прибыточный оплачиваемый полезный
доцент	учитель
дочиста	весь совершенно
дочь	дитя
дошлый	знаток
дощечка	доска
драгоман	переводчик
драгоценность	сокровище клад жемчужина алмаз перл
драгоценный	дорогой полезный
дразнить	возбуждать задирать называть сердить
драка	борьба баталия потасовка кулачки свалка схватка единоборство поединок рукопашная бокс волосяница простоволосица бесчинство скандал
драконовский	строгий
драма	зрелище случай
драматург	писатель
дранка	палка
драпироваться	будто притворяться
драть	бить
драться	биться бороться воевать состязаться сражаться
драчливый	забиячливый
драчун	буян бретер ера забияка скандалист
дребедень	вздор нелепость
дребезжание	звук
дребезжать	звучать
древко	рукоятка ручка топорище кнутовище помелище метловище палка
древле	давно некогда прежде
дремать	беззаботный спать
дрессировать	учить
дрессировка	учение
дробить	делить ломать разделять
дробление	деление разделение
дробный	малый мелкий
дробь	мелочь часть
дрова	валежник хворост дром лом сушь головня полено лучина щепа лес дерево
дроволом	невежа
дрожь	боязнь
дром	дерево дрова
друг	доброжелатель приятель благоприятель наперсник побратим побратанец товарищ
другой	иной видоизмененный непохожий новый второй подобный противоположный
дружба	дружество дружелюбие доброжелательство лад мир согласие панибратство побратимство приязнь амикошонство любовь братание единение общение лицемерная собачья тесная
дружелюбие	дружба
дружелюбный	дружественный
дружен	друг дружить
дружеский	дружественный
дружественный	дружеский дружелюбный доброжелательный благожелательный благоприятный благоприязненный приятельский любовный любвеобильный
дружество	дружба
дружина	армия
дружить	ладить дружиться якшаться сближаться брататься кумиться связываться знакомиться снюхаться спознаться панибратствовать
дружиться	дружить
дружище	друг
дружка	пара
дружно	вместе сразу
дружный	согласный стройный
дрыхнуть	спать
дрюк	дерево палка
дрючок	палка
дряблый	бессильный вялый слабый
дрязг	негодное
дрязги	сплетня
дрянь	гадость негодное
дряпня	дождь
